,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1286,AB1286,Muratsuchi (A) ,49,12,19,Floor,['Muratsuchi (A) '],1,0
1287,AB1287,Nazarian (A) ,77,1,3,Floor,['Nazarian (A) '],1,0
1288,AB1288,Cooley (A) ,77,1,3,Floor,['Cooley (A) '],1,0
1290,AB1290,Gloria (A) ,74,1,6,Floor,['Gloria (A) '],1,0
1291,AB1291,Jones-Sawyer (A) ,57,15,8,Floor,['Jones-Sawyer (A) '],1,0
1292,AB1292,"Bauer-Kahan (A) , Ting (A) ",73,1,7,Floor,"['Bauer-Kahan (A) ', ' Ting (A) ']",2,0
1294,AB1294,Salas (A) ,76,1,4,Floor,['Salas (A) '],1,0
1296,AB1296,Gonzalez (A) ,77,1,3,Floor,['Gonzalez (A) '],1,0
1297,AB1297,McCarty (A) ,48,21,11,Floor,['McCarty (A) '],1,0
1299,AB1299,Flora (A) ,74,1,6,Floor,['Flora (A) '],0,1
1301,AB1301,Cooley (A) ,60,1,20,Floor,['Cooley (A) '],1,0
1303,AB1303,"O'Donnell (A) , McCarty (A) , Quirk-Silva (A) ",78,1,2,Floor,"[""O'Donnell (A) "", ' McCarty (A) ', ' Quirk-Silva (A) ']",3,0
1304,AB1304,Waldron (A) ,75,1,5,Floor,['Waldron (A) '],0,1
1305,AB1305,Obernolte (A) ,76,1,4,Floor,['Obernolte (A) '],0,1
1307,AB1307,Blanca Rubio (A) ,78,1,2,Floor,['Blanca Rubio (A) '],0,0
1308,AB1308,Cunningham (A) ,69,4,7,Floor,['Cunningham (A) '],0,1
1309,AB1309,Bauer-Kahan (A) ,66,5,9,Floor,['Bauer-Kahan (A) '],1,0
1310,AB1310,Reyes (A) ,78,1,2,Floor,['Reyes (A) '],1,0
1311,AB1311,Ting (A) ,74,1,6,Floor,['Ting (A) '],1,0
1312,AB1312,Low (A) ,63,4,13,Floor,['Low (A) '],1,0
1313,AB1313,Luz Rivas (A) ,78,1,2,Floor,['Luz Rivas (A) '],0,0
1314,AB1314,"Medina (A) , Boerner Horvath (A) , McCarty (A) , Quirk-Silva (A) , Voepel (A) ",63,1,17,Floor,"['Medina (A) ', ' Boerner Horvath (A) ', ' McCarty (A) ', ' Quirk-Silva (A) ', ' Voepel (A) ']",1,0
1319,AB1319,"Arambula (A) , Bonta (A) ",78,1,2,Floor,"['Arambula (A) ', ' Bonta (A) ']",2,0
1320,AB1320,"Nazarian (A) , Friedman (A) , Gabriel (A) ",63,1,17,Floor,"['Nazarian (A) ', ' Friedman (A) ', ' Gabriel (A) ']",3,0
1321,AB1321,Gipson (A) ,66,5,9,Floor,['Gipson (A) '],1,0
1324,AB1324,Levine (A) ,59,12,9,Floor,['Levine (A) '],1,0
1327,AB1327,Petrie-Norris (A) ,76,1,4,Floor,['Petrie-Norris (A) '],1,0
